# AveragePeopleAtBusStops,AverageWaitTime
5.400000,60.408445
5.425000,60.668264
5.450000,60.927417
5.475000,60.995951
5.525000,61.210065
5.575000,61.550897
5.600000,62.013935
5.525000,60.257923
5.550000,59.516415
5.525000,59.051112
5.500000,58.705559
5.425000,57.685471
5.350000,57.165623
5.300000,56.057570
5.275000,55.888789
5.225000,55.487131
5.125000,54.419691
5.050000,52.954736
4.925000,52.738363
4.875000,52.470824
4.925000,52.696267
4.900000,52.800503
4.825000,52.028589
4.775000,51.940142
4.675000,52.252811
4.675000,52.609224
4.700000,52.557353
4.800000,52.739641
4.850000,52.899004
4.750000,51.306100
4.775000,51.256817
4.750000,51.011989
4.725000,50.758149
4.775000,50.792626
4.850000,50.867500
4.900000,51.244252
4.950000,51.624535
4.875000,50.958781
4.850000,50.902185
4.800000,50.661174
4.900000,51.033899
4.825000,50.885382
4.950000,51.259399
4.950000,51.435303
5.000000,51.393429
5.100000,51.480891
5.175000,51.865995
5.175000,52.139844
5.200000,52.320055
5.250000,52.600644
5.275000,52.787707
5.325000,52.988415
5.375000,53.383208
5.375000,53.582056
5.350000,53.149805
5.425000,53.420161
5.450000,53.812694
5.475000,54.016158
5.525000,54.138215
5.600000,54.540376
5.600000,54.631974
5.675000,54.628677
5.700000,53.343310
5.675000,52.578857
5.675000,52.109830
5.625000,51.816152
5.500000,49.647746
5.500000,49.303868
5.450000,49.330395
5.475000,49.552643
5.475000,48.265902
5.475000,47.658091
5.450000,47.239842
5.375000,46.973174
5.275000,46.411899
5.175000,46.450881
5.150000,46.558804
5.175000,46.914488
5.200000,45.973826
5.150000,44.094881
5.200000,43.146916
5.225000,42.865495
5.250000,42.631279
5.250000,42.334388
5.300000,42.222243
5.275000,42.095758
5.275000,42.448522
5.350000,42.680824
5.425000,42.855260
5.475000,43.092499
5.525000,43.340011
5.575000,43.686308
5.600000,43.793511
5.550000,41.590617
5.450000,40.953351
5.375000,41.071496
5.375000,41.659801
5.375000,42.225680
5.325000,42.626160
5.200000,40.060036
5.050000,37.613778
4.900000,35.987258
4.875000,36.144201
4.775000,35.222158
4.700000,34.316609
4.600000,33.364553
4.575000,33.728965
4.575000,33.300572
4.550000,33.364972
4.500000,31.718773
4.475000,31.609542
4.425000,30.523598
4.400000,30.808835
4.300000,29.998387
4.325000,30.252048
4.325000,29.748776
4.325000,30.032909
4.375000,29.930783
4.325000,28.926239
4.275000,28.172264
4.325000,27.857288
4.350000,27.471843
4.350000,26.452790
4.275000,25.914620
4.250000,25.707717
4.325000,25.816647
4.350000,24.902766
4.325000,24.599803
4.400000,24.440523
4.250000,23.167713
4.225000,22.737359
4.175000,22.441124
4.125000,22.253517
4.050000,22.267256
4.050000,22.388895
4.050000,22.387252
4.150000,22.666446
4.150000,22.945641
4.150000,23.212378
4.175000,23.493064
4.150000,23.764405
4.125000,24.022084
4.125000,24.197462
4.100000,23.409364
4.150000,23.083620
4.175000,23.073828
4.125000,23.281778
4.125000,23.730915
4.100000,22.718281
4.075000,22.289711
4.025000,22.246035
3.975000,22.260073
3.975000,22.417126
3.925000,22.353653
3.925000,22.437922
3.925000,22.212167
