average_wait_time,average_people_at_busstops,bus0_speed,bus0_position,bus1_speed,bus1_position,bus2_speed,bus2_position,bus3_speed,bus3_position,bus4_speed,bus4_position,bus5_speed,bus5_position,bus6_speed,bus6_position,bus7_speed,bus7_position,bus8_speed,bus8_position,bus9_speed,bus9_position
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.125,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.5,4.320000171661377,1.7000000476837158,1.7999999523162842,1.5,0.0,0.5,0.0,1.0,3.5899999141693115,1.0,8.640000343322754,3.5999999046325684
4.400000095367432,0.625,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,17.899999618530273,22.3799991607666,0.0,1.5,0.0,0.5,0.0,1.0,10.529999732971191,11.140000343322754,18.389999389648438,26.989999771118164
2.799999952316284,0.75,3.5799999237060547,2.990000009536743,0.0,2.5,4.099999904632568,2.640000104904175,8.9399995803833,6.460000038146973,0.0,28.600000381469727,1.0700000524520874,2.990000009536743,0.0,2.0,8.3100004196167,4.449999809265137,15.220000267028809,28.8700008392334,11.380000114440918,34.41999816894531
5.454545497894287,0.875,0.0,3.490000009536743,13.140000343322754,12.039999961853027,14.220000267028809,19.0,18.579999923706055,27.1299991607666,0.0,28.600000381469727,8.59000015258789,7.710000038146973,14.420000076293945,15.550000190734863,14.260000228881836,22.459999084472656,0.0,29.100000381469727,32.97999954223633,68.22000122070312
8.166666984558105,1.0,0.0,3.490000009536743,13.09000015258789,31.59000015258789,0.0,30.600000381469727,0.0,29.600000381469727,10.279999732971191,38.099998474121094,15.300000190734863,28.43000030517578,0.0,31.09000015258789,0.0,30.100000381469727,4.320000171661377,30.299999237060547,43.61000061035156,122.0199966430664
9.800000190734863,1.375,11.15999984741211,13.0,0.0,31.59000015258789,4.320000171661377,31.799999237060547,12.140000343322754,39.099998474121094,17.280000686645508,50.099998474121094,0.0,32.09000015258789,0.0,31.09000015258789,4.739999771118164,33.880001068115234,0.0,38.599998474121094,49.65999984741211,189.30999755859375
11.0,1.75,1.2400000095367432,32.59000015258789,4.590000152587891,34.06999969482422,0.0,40.099998474121094,0.0,39.099998474121094,30.760000228881836,83.11000061035156,4.320000171661377,33.290000915527344,7.130000114440918,40.599998474121094,0.0,39.599998474121094,4.320000171661377,39.79999923706055,50.0,258.70001220703125
14.199999809265137,1.875,8.8100004196167,40.13999938964844,0.0,41.09000015258789,0.0,40.099998474121094,4.320000171661377,40.29999923706055,35.84000015258789,133.17999267578125,0.0,41.59000015258789,0.0,40.599998474121094,0.0,39.599998474121094,0.0,48.099998474121094,50.0,328.1400146484375
16.363636016845703,2.0,0.0,42.09000015258789,4.320000171661377,42.29999923706055,4.590000152587891,43.779998779296875,0.0,48.599998474121094,46.150001525878906,190.24000549316406,0.0,41.59000015258789,4.329999923706055,43.0,0.0,49.099998474121094,0.0,48.099998474121094,50.0,397.5899963378906
17.959999084472656,2.375,0.0,42.09000015258789,5.21999979019165,48.869998931884766,3.5799999237060547,50.59000015258789,3.819999933242798,51.70000076293945,50.0,258.9100036621094,4.860000133514404,45.41999816894531,5.289999961853027,49.84000015258789,3.759999990463257,51.13999938964844,4.010000228881836,52.310001373291016,50.0,467.0400085449219
19.13793182373047,2.875,0.0,42.09000015258789,3.8399999141693115,54.7599983215332,8.579999923706055,57.369998931884766,0.0,58.099998474121094,50.0,328.3599853515625,3.819999933242798,54.189998626708984,4.260000228881836,55.4900016784668,6.210000038146973,58.599998474121094,14.119999885559082,67.18000030517578,50.0,536.47998046875
21.21875,3.25,4.789999961853027,47.209999084472656,3.2100000381469727,60.099998474121094,0.0,59.099998474121094,8.649999618530273,65.30999755859375,50.0,397.80999755859375,4.210000038146973,59.70000076293945,0.0,59.599998474121094,0.0,58.599998474121094,22.100000381469727,95.44000244140625,32.70000076293945,600.3200073242188
22.135135650634766,3.75,6.440000057220459,61.09000015258789,0.0,60.099998474121094,0.0,59.099998474121094,18.43000030517578,86.23999786376953,50.0,467.25,0.0,60.59000015258789,0.0,59.599998474121094,11.260000228881836,64.86000061035156,24.81999969482422,131.2899932861328,32.900001525878906,635.510009765625
25.810810089111328,3.75,0.0,61.09000015258789,0.0,60.099998474121094,4.320000171661377,60.29999923706055,38.09000015258789,129.02999877929688,50.0,536.7000122070312,0.0,60.59000015258789,0.0,59.599998474121094,4.53000020980835,70.55999755859375,30.889999389648438,170.8699951171875,47.5099983215332,694.6900024414062
29.078947067260742,3.75,0.0,61.09000015258789,8.619999885559082,67.83000183105469,16.190000534057617,77.5999984741211,48.79999923706055,191.02000427246094,43.40999984741211,604.3099975585938,3.7899999618530273,61.650001525878906,16.18000030517578,72.76000213623047,10.0600004196167,81.27999877929688,36.58000183105469,216.25999450683594,6.320000171661377,738.6500244140625
26.409090042114258,4.125,6.059999942779541,68.66000366210938,0.0,79.0999984741211,12.8100004196167,85.18000030517578,50.0,259.9800109863281,33.0099983215332,645.4500122070312,18.31999969482422,76.48999786376953,0.0,78.5999984741211,15.8100004196167,97.81999969482422,49.040000915527344,278.95001220703125,4.639999866485596,742.4099731445312
30.159090042114258,4.125,0.0,80.0999984741211,0.0,79.0999984741211,26.489999771118164,117.5,50.0,329.42999267578125,38.36000061035156,694.6799926757812,0.0,79.5999984741211,8.59000015258789,84.5199966430664,21.1299991607666,124.43000030517578,50.0,348.3900146484375,14.239999771118164,756.9400024414062
