# Step,AveragePeopleAtBusStops,AverageWaitTime
211.000000,13.750000,77.082090
212.000000,14.000000,77.917910
213.000000,14.000000,78.753731
214.000000,14.000000,77.282609
215.000000,14.500000,76.460993
216.000000,14.500000,71.762238
217.000000,14.500000,69.923077
218.000000,14.250000,68.202797
219.000000,14.250000,69.978723
220.000000,13.625000,66.531915
221.000000,13.375000,66.835714
222.000000,13.000000,65.935714
223.000000,12.750000,66.357143
224.000000,12.750000,66.609929
225.000000,12.875000,67.340426
226.000000,12.875000,68.070922
227.000000,12.875000,67.839161
228.000000,13.125000,68.097222
229.000000,13.250000,68.358621
230.000000,13.375000,68.156463
231.000000,13.375000,68.884354
232.000000,13.375000,69.141892
233.000000,13.500000,69.871622
234.000000,13.500000,69.198675
235.000000,13.875000,69.933775
236.000000,13.875000,70.203947
237.000000,14.000000,70.940789
238.000000,14.000000,71.677632
239.000000,14.000000,71.941176
240.000000,14.125000,71.741935
241.000000,14.375000,71.560510
242.000000,14.625000,71.848101
243.000000,14.750000,72.594937
244.000000,14.750000,72.880503
245.000000,14.875000,73.628931
246.000000,14.875000,74.377358
247.000000,14.875000,75.125786
248.000000,14.875000,75.874214
249.000000,14.875000,76.622642
250.000000,14.875000,76.887500
251.000000,15.000000,77.155280
252.000000,15.125000,77.425926
253.000000,15.250000,77.699387
254.000000,15.250000,78.447853
255.000000,15.250000,79.196319
256.000000,15.250000,79.457317
257.000000,15.375000,80.207317
258.000000,15.375000,80.466667
259.000000,15.375000,81.212121
260.000000,15.375000,81.463855
261.000000,15.500000,82.210843
262.000000,15.500000,82.461078
263.000000,15.625000,83.209581
264.000000,15.625000,83.458333
265.000000,15.625000,83.211765
266.000000,15.875000,82.502890
267.000000,16.000000,83.242775
268.000000,16.000000,83.982659
269.000000,16.000000,83.754286
270.000000,16.250000,84.017045
271.000000,16.375000,84.282486
272.000000,16.500000,85.028249
273.000000,16.500000,85.292135
274.000000,16.625000,85.083333
275.000000,16.875000,84.890110
276.000000,17.125000,85.642857
277.000000,17.125000,85.923497
278.000000,17.250000,86.206522
279.000000,17.375000,86.491892
280.000000,17.500000,85.856383
281.000000,17.875000,85.705263
282.000000,17.625000,83.015789
283.000000,17.500000,81.136126
284.000000,17.375000,79.447917
285.000000,17.250000,78.515625
286.000000,17.000000,77.134021
287.000000,17.000000,76.819588
288.000000,16.750000,76.742268
289.000000,16.500000,76.958763
290.000000,16.250000,77.448454
291.000000,16.250000,78.523316
292.000000,16.250000,79.196891
293.000000,16.250000,79.458763
294.000000,16.250000,80.128866
295.000000,16.250000,80.798969
296.000000,16.250000,81.469072
297.000000,16.250000,82.139175
298.000000,16.250000,82.384615
299.000000,16.375000,83.056410
300.000000,16.375000,83.728205
301.000000,16.375000,84.400000
302.000000,16.375000,85.071795
303.000000,16.375000,85.743590
304.000000,16.375000,85.974490
305.000000,16.500000,85.772727
306.000000,16.750000,86.449495
307.000000,16.375000,85.010101
308.000000,16.125000,84.585859
309.000000,15.875000,84.363636
310.000000,15.625000,84.292929
311.000000,15.375000,84.429293
312.000000,15.125000,84.853535
313.000000,15.125000,85.464646
314.000000,15.125000,85.643216
315.000000,15.250000,84.975248
316.000000,15.375000,84.750000
317.000000,15.750000,85.362745
318.000000,15.750000,85.980392
319.000000,15.750000,86.598039
320.000000,15.750000,86.368932
321.000000,16.000000,86.570048
322.000000,16.125000,86.774038
323.000000,16.250000,86.980861
324.000000,16.375000,87.607656
325.000000,16.375000,88.234450
326.000000,16.375000,88.861244
327.000000,16.375000,88.639810
328.000000,16.625000,88.849057
329.000000,16.750000,89.061033
330.000000,16.875000,89.694836
331.000000,16.875000,90.328638
332.000000,16.875000,90.962441
333.000000,16.875000,90.324074
334.000000,17.000000,90.123853
335.000000,17.250000,90.761468
336.000000,17.375000,90.972603
337.000000,17.500000,91.611872
338.000000,17.500000,91.004505
339.000000,17.875000,91.648649
340.000000,17.875000,92.292793
341.000000,17.875000,92.520179
342.000000,18.000000,92.750000
343.000000,18.125000,93.397321
344.000000,18.125000,94.044643
345.000000,18.125000,94.691964
346.000000,18.125000,95.339286
347.000000,18.125000,95.560000
348.000000,18.250000,96.208889
349.000000,18.250000,98.166667
350.000000,18.000000,95.488789
351.000000,18.000000,95.162162
352.000000,17.875000,94.950226
353.000000,17.750000,94.809091
354.000000,17.625000,94.726027
355.000000,17.500000,93.786364
356.000000,17.625000,93.281818
357.000000,17.625000,93.497738
358.000000,17.750000,94.140271
359.000000,17.750000,94.782805
360.000000,17.750000,94.995495
361.000000,17.875000,95.639640
362.000000,17.875000,95.852018
363.000000,18.000000,96.497758
364.000000,18.000000,96.709821
365.000000,18.125000,97.357143
366.000000,18.125000,97.568889
367.000000,18.250000,97.783186
368.000000,18.375000,98.000000
369.000000,18.500000,98.651982
370.000000,18.500000,98.868421
371.000000,18.625000,99.087336
372.000000,18.750000,99.308696
373.000000,18.875000,99.532468
374.000000,19.000000,99.758621
375.000000,19.125000,99.987124
376.000000,18.875000,98.414530
377.000000,18.750000,97.812766
378.000000,18.750000,97.236287
379.000000,19.125000,99.991379
380.000000,18.875000,97.133047
381.000000,19.000000,95.888889
382.000000,19.250000,96.198276
383.000000,19.250000,96.560870
384.000000,19.125000,96.646288
385.000000,19.000000,95.129310
386.000000,19.375000,95.797414
387.000000,19.375000,96.465517
388.000000,19.375000,96.716738
389.000000,19.500000,97.386266
390.000000,19.500000,98.055794
391.000000,19.500000,98.725322
392.000000,19.500000,98.970085
393.000000,19.625000,99.641026
394.000000,19.625000,99.885106
395.000000,19.750000,100.557447
396.000000,19.750000,101.229787
397.000000,19.750000,101.902128
398.000000,19.750000,101.708861
399.000000,19.875000,101.949580
400.000000,20.000000,102.621849
401.000000,20.000000,102.861925
402.000000,20.125000,103.535565
403.000000,20.125000,104.209205
404.000000,20.125000,104.445833
405.000000,20.250000,104.252066
406.000000,20.500000,104.929752
407.000000,20.500000,105.607438
408.000000,20.500000,105.847737
409.000000,20.625000,106.526749
410.000000,20.625000,106.330612
411.000000,20.750000,106.573171
412.000000,20.750000,106.821862
413.000000,20.875000,107.489879
414.000000,20.500000,103.737903
415.000000,20.625000,101.064000
416.000000,20.625000,99.264000
417.000000,20.375000,97.736000
418.000000,20.375000,98.388000
419.000000,20.000000,95.681275
420.000000,19.875000,95.848606
421.000000,19.625000,94.290837
422.000000,19.375000,94.593625
423.000000,19.125000,95.155378
424.000000,19.125000,95.007905
425.000000,19.250000,95.240157
426.000000,19.375000,95.474510
427.000000,19.500000,95.710938
428.000000,19.625000,95.949416
429.000000,19.750000,96.564202
430.000000,19.750000,96.802326
431.000000,19.875000,97.042471
432.000000,20.000000,97.284615
433.000000,20.125000,97.903846
434.000000,20.125000,98.523077
435.000000,20.125000,98.762452
436.000000,20.250000,99.003817
437.000000,20.375000,100.779923
438.000000,20.125000,97.753846
439.000000,20.125000,97.254826
440.000000,20.000000,96.825581
441.000000,19.875000,96.093023
442.000000,19.875000,95.824903
443.000000,19.750000,95.566406
444.000000,19.625000,95.345098
445.000000,19.500000,94.815686
446.000000,19.500000,95.054688
447.000000,19.625000,95.667969
448.000000,19.625000,95.906615
449.000000,19.750000,96.521401
450.000000,19.750000,96.386100
451.000000,19.875000,96.626923
452.000000,20.000000,96.869732
453.000000,20.125000,97.486590
454.000000,20.125000,97.729008
455.000000,20.125000,98.343511
456.000000,20.125000,98.958015
457.000000,20.125000,99.572519
458.000000,20.125000,100.187023
459.000000,20.125000,100.801527
460.000000,20.125000,101.416031
461.000000,20.125000,101.642586
462.000000,20.250000,102.258555
463.000000,20.250000,102.874525
464.000000,20.250000,103.490494
465.000000,20.250000,104.106464
466.000000,20.250000,104.722433
467.000000,20.250000,105.338403
468.000000,20.250000,105.954373
469.000000,20.250000,106.570342
470.000000,20.250000,106.780303
471.000000,20.375000,107.397727
472.000000,20.375000,107.607547
473.000000,20.500000,108.226415
474.000000,20.500000,108.029963
475.000000,20.750000,108.651685
476.000000,20.750000,108.865672
477.000000,20.875000,109.488806
478.000000,20.875000,109.702602
479.000000,21.000000,109.512915
480.000000,21.125000,109.731618
481.000000,20.875000,108.573529
482.000000,20.625000,107.613139
483.000000,20.625000,107.565693
484.000000,20.375000,106.509025
485.000000,20.750000,107.887273
486.000000,20.500000,108.094545
487.000000,20.500000,108.690909
488.000000,20.500000,109.127273
489.000000,20.500000,110.527473
490.000000,20.375000,110.700730
491.000000,20.375000,111.295620
492.000000,20.375000,111.483636
493.000000,20.500000,110.870504
494.000000,20.750000,111.471223
495.000000,20.875000,112.068345
496.000000,20.875000,112.265233
497.000000,21.000000,112.867384
498.000000,21.000000,113.064286
499.000000,21.125000,112.861702
500.000000,21.375000,113.468085
501.000000,21.375000,113.271127
502.000000,21.625000,113.880282
