# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
158.000000,98.000000,9.375000,65.673469
159.000000,98.000000,9.500000,66.448980
160.000000,98.000000,9.500000,67.224490
161.000000,99.000000,9.500000,67.313131
162.000000,100.000000,9.625000,67.410000
163.000000,100.000000,9.750000,68.190000
164.000000,101.000000,9.750000,68.287129
165.000000,102.000000,9.875000,68.392157
166.000000,102.000000,10.000000,69.176471
167.000000,102.000000,10.000000,69.960784
168.000000,102.000000,10.000000,70.745098
169.000000,104.000000,10.000000,70.153846
170.000000,104.000000,10.250000,70.942308
171.000000,104.000000,10.250000,71.730769
172.000000,105.000000,10.250000,71.828571
173.000000,105.000000,10.375000,72.619048
174.000000,105.000000,10.375000,73.409524
175.000000,105.000000,10.375000,74.200000
176.000000,105.000000,10.375000,74.990476
177.000000,106.000000,10.000000,70.679245
178.000000,107.000000,9.875000,68.205607
179.000000,108.000000,9.750000,67.370370
180.000000,108.000000,9.625000,67.916667
181.000000,107.000000,9.625000,69.271028
182.000000,107.000000,9.750000,70.000000
183.000000,109.000000,9.750000,69.431193
184.000000,109.000000,10.000000,70.165138
185.000000,110.000000,10.000000,70.254545
186.000000,110.000000,10.125000,70.990909
187.000000,110.000000,10.125000,71.727273
188.000000,110.000000,10.125000,72.463636
189.000000,113.000000,10.125000,71.256637
190.000000,114.000000,10.375000,71.359649
191.000000,114.000000,10.500000,72.096491
192.000000,115.000000,10.500000,72.200000
193.000000,115.000000,10.625000,72.939130
194.000000,115.000000,10.625000,73.678261
195.000000,115.000000,10.625000,74.417391
196.000000,116.000000,10.625000,74.508621
197.000000,116.000000,10.750000,75.250000
198.000000,118.000000,10.750000,74.703390
199.000000,119.000000,11.000000,74.815126
200.000000,119.000000,11.125000,75.563025
201.000000,119.000000,11.125000,76.310924
202.000000,120.000000,11.125000,76.416667
203.000000,120.000000,11.250000,77.166667
204.000000,120.000000,11.250000,77.916667
205.000000,122.000000,11.250000,77.377049
206.000000,122.000000,11.500000,78.131148
207.000000,123.000000,11.500000,78.243902
208.000000,124.000000,11.625000,78.362903
209.000000,126.000000,11.750000,77.865079
210.000000,127.000000,12.000000,78.007874
211.000000,127.000000,12.125000,78.771654
212.000000,127.000000,12.125000,79.535433
213.000000,127.000000,12.125000,80.299213
214.000000,127.000000,12.125000,81.062992
215.000000,128.000000,12.125000,81.187500
216.000000,128.000000,11.875000,77.148438
217.000000,129.000000,11.625000,74.302326
218.000000,130.000000,11.500000,71.792308
219.000000,130.000000,11.000000,68.507692
220.000000,131.000000,10.500000,66.374046
221.000000,130.000000,10.250000,66.400000
222.000000,129.000000,10.000000,66.658915
223.000000,129.000000,9.875000,66.519380
224.000000,129.000000,9.750000,66.387597
