Waiting Times,Average People at Busstops
0.0,0.0
0.5,0.125
0.6000000238418579,0.25
1.600000023841858,0.5
1.7139999866485596,0.625
2.7139999866485596,0.875
3.25,0.875
3.7780001163482666,1.0
3.9089999198913574,1.125
4.182000160217285,1.25
4.308000087738037,1.25
5.1539998054504395,1.375
6.0,1.375
6.8460001945495605,1.375
7.691999912261963,1.375
8.538000106811523,1.375
9.385000228881836,1.375
8.866999626159668,1.375
8.588000297546387,1.625
8.944000244140625,1.875
9.315999984741211,2.0
8.895000457763672,1.875
8.0,1.875
8.782999992370605,2.25
9.166999816894531,2.25
9.5600004196167,2.375
10.359999656677246,2.5
10.730999946594238,2.5
11.111000061035156,2.625
11.5,2.75
12.321000099182129,2.875
12.6899995803833,2.875
13.517000198364258,3.0
14.345000267028809,3.0
15.17199993133545,3.0
16.0,3.0
16.267000198364258,3.0
17.100000381469727,3.125
17.933000564575195,3.125
18.767000198364258,3.125
18.375,3.125
18.63599967956543,3.375
19.485000610351562,3.5
20.33300018310547,3.5
19.97100067138672,3.5
20.799999237060547,3.625
21.628999710083008,3.625
22.457000732421875,3.625
22.638999938964844,3.625
22.83799934387207,3.75
23.676000595092773,3.875
24.513999938964844,3.875
24.68400001525879,3.875
25.525999069213867,4.0
26.368000030517578,4.0
27.211000442504883,4.0
28.05299949645996,4.0
28.15399932861328,4.0
27.584999084472656,4.125
28.43899917602539,4.375
27.93000030517578,4.375
28.13599967956543,4.625
28.356000900268555,4.75
29.222000122070312,4.875
28.80900001525879,4.875
29.680999755859375,5.125
30.55299949645996,5.125
30.915000915527344,4.75
31.722999572753906,4.75
32.53200149536133,4.75
32.645999908447266,4.75
32.7760009765625,4.875
32.900001525878906,4.875
33.03900146484375,5.0
33.19200134277344,5.125
34.0,5.25
34.80799865722656,5.25
35.6150016784668,5.25
36.42300033569336,5.25
36.52799987792969,5.25
32.814998626708984,5.0
31.29599952697754,4.625
30.05500030517578,4.375
30.417999267578125,4.25
31.611000061035156,4.25
32.24100112915039,4.25
32.869998931884766,4.25
32.89099884033203,4.25
33.527000427246094,4.375
32.96500015258789,4.375
33.61399841308594,4.625
34.26300048828125,4.625
34.9119987487793,4.625
34.654998779296875,4.375
35.2760009765625,4.5
35.28799819946289,4.5
35.915000915527344,4.625
36.54199981689453,4.625
36.54999923706055,4.625
36.57400131225586,4.75
32.31700134277344,4.5
31.0,4.5
31.016000747680664,4.375
31.091999053955078,4.5
31.18199920654297,4.625
31.757999420166016,4.75
31.597000122070312,4.25
31.631999969482422,4.25
32.14699935913086,4.375
32.6619987487793,4.375
33.17599868774414,4.375
33.202999114990234,4.375
33.724998474121094,4.5
33.75699996948242,4.5
34.2859992980957,4.625
34.81399917602539,4.625
35.34299850463867,4.625
35.87099838256836,4.625
35.887001037597656,4.625
34.94599914550781,4.75
34.553001403808594,5.0
35.10499954223633,5.25
35.19499969482422,5.25
35.75299835205078,5.375
36.3120002746582,5.375
36.39699935913086,5.375
36.96200180053711,5.5
37.5260009765625,5.5
36.43199920654297,5.125
36.9630012512207,5.375
36.59000015258789,5.375
37.132999420166016,5.625
37.67499923706055,5.625
38.21699905395508,5.625
38.75899887084961,5.625
39.30099868774414,5.625
39.84299850463867,5.625
40.38600158691406,5.625
40.928001403808594,5.625
40.02299880981445,5.625
40.58100128173828,6.0
40.20500183105469,6.0
40.77299880981445,6.25
41.340999603271484,6.25
41.909000396728516,6.25
42.47700119018555,6.25
43.540000915527344,6.25
43.61399841308594,6.25
43.696998596191406,6.375
44.28099822998047,6.5
44.8650016784668,6.5
45.44900131225586,6.5
45.37799835205078,6.375
45.95600128173828,6.5
45.52199935913086,6.5
45.60200119018555,6.625
45.691001892089844,6.75
45.78900146484375,6.875
